payoff,network,strategy,strategy_short,mean_barC,std_barC,mean_smax,std_smax,mean_chi,std_chi,Pr_allC,Pr_allD,mean_t_absorb,std_t_absorb
beta_0.50,ER_k4,ImitationStrategy,Imitate,0.012952818181818182,0.016766282701816564,0.0030044736842105265,0.0009064041359141846,0.2263157894736842,0.399433077781161,0.0,0.05,3800.55,891.967516224666
beta_0.50,ER_k4,TitForTatStrategy,TFT,0.5081249999999999,0.07082165796451043,0.38349999999999995,0.09487578444305064,1.2034921384034563,0.14567016528068094,0.0,0.0,4000.0,0.0
beta_0.50,Grid_20x20,ImitationStrategy,Imitate,0.09744315476190477,0.012419449480394836,,,,,0.0,1.0,8.2,0.8944271909999162
beta_0.50,Grid_20x20,TitForTatStrategy,TFT,0.5104667235317003,0.17780641609003855,0.0025,0.0,0.0,0.0,0.25,0.2,2216.6,2022.8426949273767
beta_0.50,WS_k4_p0.05,ImitationStrategy,Imitate,0.08001527292152291,0.02773410841574081,0.007500000000000003,0.0,0.0,0.0,0.0,0.9,410.25,1227.6753760450554
beta_0.50,WS_k4_p0.05,TitForTatStrategy,TFT,0.5278764806139088,0.25949242801601746,0.13500000000000004,0.34447099712042945,1.7769274295635344,0.7235890779630282,0.3,0.3,1647.2,1971.029322327216
beta_0.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.08562750374625375,0.027179921947902683,0.007500000000000003,,0.0,,0.0,0.95,209.1,892.2887130118934
beta_0.50,WS_k4_p0.1,TitForTatStrategy,TFT,0.47216955677032735,0.20891134847446036,0.08348214285714287,0.2502201811998192,2.1228957806658797,0.34325909496333074,0.1,0.2,2817.65,1853.001527394491
beta_0.80,ER_k4,ImitationStrategy,Imitate,0.020870701923076926,0.019749464193154025,0.004588815789473685,0.0013461731687611361,0.8161702332754964,0.48273256623328564,0.0,0.05,3800.65,891.5203026291662
beta_0.80,ER_k4,TitForTatStrategy,TFT,0.4845,0.0682709385656267,0.3521875,0.09429610679438973,1.3369394201181128,0.40937514211702214,0.0,0.0,4000.0,0.0
beta_0.80,Grid_20x20,ImitationStrategy,Imitate,0.08440841214667685,0.03611102271468798,0.005,0.0,0.0,0.0,0.0,0.85,612.25,1460.1127164492618
beta_0.80,Grid_20x20,TitForTatStrategy,TFT,0.4482731429557088,0.1410036330609133,0.0025,0.0,0.0,0.0,0.05,0.25,2811.4,1862.7833277962818
beta_0.80,WS_k4_p0.05,ImitationStrategy,Imitate,0.05403430357142858,0.04416409359639486,0.006551666666666668,0.000747663423766401,1.1133333333333333,0.5950590206821825,0.0,0.25,3003.8,1770.2964247772031
beta_0.80,WS_k4_p0.05,TitForTatStrategy,TFT,0.4633718320749957,0.20882824615654189,0.011875000000000002,0.001692508000965827,2.0766818838397336,0.12447216427476636,0.2,0.3,2039.2,2011.7544477134222
beta_0.80,WS_k4_p0.1,ImitationStrategy,Imitate,0.07127638468329915,0.03994012595239042,0.007072000000000002,0.001502773893504941,1.2079465534465534,0.957689281832274,0.0,0.75,1016.45,1767.3373512597686
beta_0.80,WS_k4_p0.1,TitForTatStrategy,TFT,0.4457674071714496,0.23744888869477443,0.029326923076923077,0.03766842519153483,1.684077509383298,0.9658491214824444,0.2,0.15,2618.4,1931.7273807875192
beta_1.00,ER_k4,ImitationStrategy,Imitate,0.030517250000000003,0.011587152194859705,0.0065305,0.002175811796476021,1.2120627103804347,0.34258981543794265,0.0,0.0,4000.0,0.0
beta_1.00,ER_k4,TitForTatStrategy,TFT,0.5059375,0.065434874966199,0.3794375,0.100610369972745,1.587870904472089,1.0643098958074968,0.0,0.0,4000.0,0.0
beta_1.00,Grid_20x20,ImitationStrategy,Imitate,0.08635020245726496,0.04148655564335132,0.008601250000000001,0.003070440725693953,1.2475,0.903156501757401,0.0,0.8,815.9,1633.4295177551078
beta_1.00,Grid_20x20,TitForTatStrategy,TFT,0.4877409434991672,0.2123514099968961,0.0025,0.0,0.0,0.0,0.3,0.35,1424.7,1938.8464856034482
beta_1.00,WS_k4_p0.05,ImitationStrategy,Imitate,0.0759241771978022,0.03740245229932777,0.009418000000000004,0.0027420761164802542,2.158814793293276,0.22451947372955522,0.0,0.25,3004.7,1768.6970851300027
beta_1.00,WS_k4_p0.05,TitForTatStrategy,TFT,0.45963847177911044,0.17987916174622245,0.011477272727272727,0.0013483997249264857,2.051437031370287,0.08963551957801351,0.15,0.3,2231.3,2006.189189273508
beta_1.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.07656765178571429,0.04788341671355881,0.008789772727272731,0.002718226548354979,1.941836500213782,0.7459930093574361,0.0,0.45,2206.7,2034.0729454393766
beta_1.00,WS_k4_p0.1,TitForTatStrategy,TFT,0.5633362602127204,0.2016918772024279,0.015000000000000001,0.0038959686123698975,2.079932781425873,0.1444396462581756,0.4,0.2,1634.3,1981.7904212313194
beta_1.20,ER_k4,ImitationStrategy,Imitate,0.04971775,0.013790650625371256,0.008150875000000002,0.0020226926872950433,1.5958096255821375,0.3480369210293459,0.0,0.0,4000.0,0.0
beta_1.20,ER_k4,TitForTatStrategy,TFT,0.47006249999999994,0.07103843821444396,0.337375,0.10134287488261659,1.525284244744458,0.7022309897460558,0.0,0.0,4000.0,0.0
beta_1.20,Grid_20x20,ImitationStrategy,Imitate,0.08472754145119586,0.04361631457945008,0.007084583333333334,0.0023476469158854926,0.8289211931858991,0.8550072948170104,0.0,0.7,1211.45,1872.9614454963532
beta_1.20,Grid_20x20,TitForTatStrategy,TFT,0.5361794070024333,0.15551390920101887,0.0025,0.0,0.0,0.0,0.25,0.1,2613.15,1939.0561261929258
beta_1.20,WS_k4_p0.05,ImitationStrategy,Imitate,0.10269555681818184,0.041279333619122144,0.013525000000000004,0.0035865249352417874,2.763641890719524,0.6219849209838312,0.0,0.5,2013.0,2038.6468680552744
beta_1.20,WS_k4_p0.05,TitForTatStrategy,TFT,0.43350356046481664,0.17339739169459398,0.011931818181818182,0.001294656851693285,2.11901246374629,0.06874547144840114,0.1,0.35,2232.8,2004.4904746987188
beta_1.20,WS_k4_p0.1,ImitationStrategy,Imitate,0.07336994642857143,0.04963875907752034,0.008860625000000002,0.002108186727595326,2.2396639352618286,0.46765260257704355,0.0,0.4,2411.9,1995.5778980957923
beta_1.20,WS_k4_p0.1,TitForTatStrategy,TFT,0.45344468082312483,0.217878422403577,0.13875,0.2528305666934785,1.8230254208879009,0.69237812105826,0.15,0.25,2421.6,1983.3622542488167
beta_1.50,ER_k4,ImitationStrategy,Imitate,0.051514875,0.017693771009859433,0.008933375000000002,0.0034113892326602846,1.5824542409383098,0.4087835467762092,0.0,0.0,4000.0,0.0
beta_1.50,ER_k4,TitForTatStrategy,TFT,0.5082500000000001,0.08892209038194467,0.381,0.13348910856419396,1.4655520235818926,1.0920641229067867,0.0,0.0,4000.0,0.0
beta_1.50,Grid_20x20,ImitationStrategy,Imitate,0.056222031250000006,0.02354488477809161,0.011712333333333335,0.004240223994532545,2.1999148903647403,0.5069408214775128,0.0,0.25,3008.9,1761.234791126295
beta_1.50,Grid_20x20,TitForTatStrategy,TFT,0.5249947177693889,0.1543873555751809,0.0025,0.0,0.0,0.0,0.25,0.15,2415.2,1991.3991537292777
beta_1.50,WS_k4_p0.05,ImitationStrategy,Imitate,0.1022868409090909,0.024128238666594193,0.01642776315789474,0.004668204128785683,2.8793059645932892,0.3851708565554502,0.0,0.05,3802.2,884.5884918989168
beta_1.50,WS_k4_p0.05,TitForTatStrategy,TFT,0.4962264945957548,0.21822092869644596,0.10343750000000003,0.27892606801884723,2.0373020552997363,0.03789798980885471,0.15,0.25,2430.85,1971.7591471096375
beta_1.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.07622860592532468,0.03382931429277239,0.012502500000000001,0.003320445251267767,2.7113793323094404,0.5339348040153353,0.0,0.2,3207.6,1625.9821453023724
beta_1.50,WS_k4_p0.1,TitForTatStrategy,TFT,0.4435162177041307,0.21730637357752677,0.08027777777777778,0.19585627081981433,1.8930316494834034,0.7600820761106949,0.2,0.35,1831.7,2012.277214867197
beta_2.00,ER_k4,ImitationStrategy,Imitate,0.0628355,0.015106326328117595,0.012248000000000004,0.005057137517254307,1.887245239717485,0.3171319414335118,0.0,0.0,4000.0,0.0
beta_2.00,ER_k4,TitForTatStrategy,TFT,0.490625,0.06905315934690803,0.36875,0.09824111048575175,1.4325912591991157,0.9857830427254873,0.0,0.0,4000.0,0.0
beta_2.00,Grid_20x20,ImitationStrategy,Imitate,0.10411202609890109,0.03446064824384014,0.024873888888888893,0.016419305810496714,3.786342561319941,1.0394379169065788,0.0,0.55,1817.3,2025.6493461811724
beta_2.00,Grid_20x20,TitForTatStrategy,TFT,0.4897504335520976,0.22032524187111008,0.0025,0.0,0.0,0.0,0.3,0.35,1424.35,1939.1104112046085
beta_2.00,WS_k4_p0.05,ImitationStrategy,Imitate,0.14525366233766235,0.039710146591435194,0.018351000000000003,0.004464283737142419,3.474952588924434,0.6258943710195206,0.0,0.25,3007.1,1764.4474280396648
beta_2.00,WS_k4_p0.05,TitForTatStrategy,TFT,0.576908102278296,0.2082799595349823,0.01265625,0.001940809385650372,2.0796847545840538,0.05640678775800321,0.45,0.15,1646.4,1971.6704752969995
beta_2.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.10879971499060151,0.032105999991715366,0.022308833333333337,0.01332910392667471,3.318110580662587,0.5226519415496147,0.0,0.25,3008.0,1762.8463825362244
beta_2.00,WS_k4_p0.1,TitForTatStrategy,TFT,0.46017601813734543,0.25909721256072654,0.24227272727272728,0.3945732735270069,1.7462298740217117,0.8888311147827598,0.1,0.35,2224.2,2014.2299455832274
beta_2.50,ER_k4,ImitationStrategy,Imitate,0.081611,0.019865818789675162,0.014315750000000002,0.005667164315738424,2.337528275725883,0.6041538063511883,0.0,0.0,4000.0,0.0
beta_2.50,ER_k4,TitForTatStrategy,TFT,0.5313749999999999,0.07610901547676266,0.4194375,0.11072984178550108,1.2561169192901274,0.33333147220127646,0.0,0.0,4000.0,0.0
beta_2.50,Grid_20x20,ImitationStrategy,Imitate,0.10617461474052263,0.034924876012612564,0.025044423076923082,0.014559927567994851,3.639230563109982,1.1058542762321277,0.0,0.35,2609.7,1943.887182669655
beta_2.50,Grid_20x20,TitForTatStrategy,TFT,0.47923994497678707,0.19753578357218055,0.0025,0.0,0.0,0.0,0.25,0.3,1820.6,2022.5539977177891
beta_2.50,WS_k4_p0.05,ImitationStrategy,Imitate,0.17225487053571428,0.03271997951232988,0.023914166666666667,0.006424352736909399,3.925228803564307,0.4835212667954909,0.0,0.1,3602.3,1224.0982545703205
beta_2.50,WS_k4_p0.05,TitForTatStrategy,TFT,0.4898574560312838,0.20218019950631605,0.09375000000000001,0.2834346966634948,1.9034096190225362,0.6037146080732455,0.15,0.25,2431.55,1970.8640230539552
beta_2.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.12880823214285714,0.04370798444167549,0.020854,0.011389305988200383,3.52559209802603,0.6424843201657852,0.0,0.25,3005.9,1766.56591933854
beta_2.50,WS_k4_p0.1,TitForTatStrategy,TFT,0.40695378069408533,0.1986971360506052,0.01363636363636364,0.00423728043142597,2.018551067328267,0.6918410818423437,0.1,0.35,2229.9,2007.7653170679714
